発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ
1990-07-13,-,4,ACT,ナムコ,超絶倫人ベラボーマン,"￥6,800","￥7,000代",0,1
1990-07-20,34,3,ETC,ナグザット,デビルクラッシュ,"￥6,300","￥6,500代",0,1
1990-07-20,30,3,RPG,ハドソン,桃太郎伝説ターボ(Vol.29),"￥5,800","￥6,000代",0,1
1990-07-27,30,4,SHT,アイレム,イメージファイト(Vol.3),"￥7,000","￥7,000代",0,1
1990-07-27,-,2,A-PUZ,パックインビデオ,ロードランナー失われた迷宮(ロストラビリンス),"￥5,800","￥6,000代",0,1
1990-07-27,-,2,SPT,I.G.S.,ワールドビーチバレー,"￥5,700","￥5,500代",0,1
1990-07-27,32,6,ACT,NECアベニュー,大魔界村,"￥10,800","￥11,000代",0,1
1990-08-03,-,3,ACT,タイトー,地獄めぐり,"￥6,600","￥6,500代",0,1
1990-08-09,-,4,ACT,ナムコ,ワルキューレの伝説,"￥6,800","￥7,000代",0,1
1990-08-10,30,2,PUZ,テンゲン,クラックス,"￥5,900","￥6,000代",0,1
1990-08-10,30,3,SPT,ハドソン,パワーリーグIII(Vol.31),"￥5,800","￥6,000代",0,1
1990-08-10,-,2,ETC,ホームデータ,将棋初段一直線,"￥6,700","￥6,500代",0,1
1990-08-10,30,3,ETC,サンソフト,麻雀悟空スペシャル,"￥6,300","￥6,500代",0,1
1990-08-31,-,4,SHT,NECアベニュー,オペレーションウルフ,"￥7,200","￥7,000代",0,1
1990-09-07,-,3,ACT,フェイス,はにい･おんざ･ろおど,"￥6,400","￥6,500代",0,1
1990-09-07,-,2,ACT,ビクター音楽産業,暗黒伝説,"￥6,200","￥6,000代",0,1
1990-09-14,31,4,RAC,ニチブツ,F1サーカス,"￥6,900","￥7,000代",0,1
1990-09-14,-,4,SLG,トンキンハウス,関ヶ原,"￥6,800","￥7,000代",0,1
