稼働年月日,容量,基盤,ジャンル,メーカー,タイトル,開発元,ジョブカテゴリ,カウント
1992-10-01,AC,システム18,,SEGA,デザートブレイカー,,0,0
1992-11-01,AC,システム32,,SEGA,ホロシアム（英語版）,セガ（AM1研）,0,0
1993-03-01,AC,システムマルチ32,,SEGA,タイトルファイト,セガ（AM3研）,0,0
1993-03-01,AC,システム32,,SEGA,ダークエッジ,セガ（AM3研）,0,0
1993-05-01,AC,システム24,,SEGA,クイズめくるめくストーリー,,0,0
1993-05-01,AC,システムマルチ32,,SEGA,アウトランナーズ,セガ（AM1研）,0,0
1993-06-01,AC,C2ボード,,SEGA,タントアール,セガ（AM1研）,0,0
1993-07-01,AC,システム32,,SEGA,バーニングライバル,セガ（AM2研）,0,0
1993-09-01,AC,システム32,,SEGA,F1スーパーラップ,セガ（AM2研）,0,0
1993-09-01,AC,システム32,,SEGA,エイリアン3・ザ・ガン,セガ（AM1研）,0,0
1993-10-01,AC,システム32,,SEGA,ソニック・ザ・ヘッジホッグ,セガ（AM3研）,0,0
1993-12-01,AC,モデル1,FTG,SEGA,バーチャファイター,セガ（AM2研）,0,0
1994-02-01,AC,システム32,,SEGA,ジュラシック・パーク（英語版）,セガ（AM3研）,0,0
1994-03-01,AC,C2ボード,,SEGA,ポトポト,セガ（AM3研）,0,0
1994-03-01,AC,システム32,,SEGA,ドラゴンボールZ V.R.V.S,セガ（AM3研）,0,0
1994-03-01,AC,システムマルチ32,,SEGA,ハードダンク 3on3,セガ（AM3研）,0,0
1994-03-01,AC,モデル2,RCG,SEGA,デイトナUSA,セガ（AM2研）,0,0
1994-04-01,AC,モデル1,,SEGA,スターウォーズ (アーケードゲーム)（英語版）,セガ（AM3研）,0,0
1994-05-01,AC,C2ボード,PZL落ち物,SEGA,スタックコラムス,セガ（AM1研）,0,0
1994-06-01,AC,C2ボード,,SEGA,イチダントアール,セガ（AM1研）,0,0
1994-06-01,AC,モデル1,,SEGA,ウイングウォー,セガ（AM1研）,0,0
1994-07-01,AC,システム32,,SEGA,ザ・Jリーグ1994,セガ（AM1研）,0,0
1994-07-01,AC,ST-V,,SEGA,スポーツフィッシング,セガ（AM4研）,0,0
1994-07-01,AC,モデル2,,SEGA,デザートタンク,セガ（AM2研）,0,0
1994-08-01,AC,C2ボード,,SEGA,ずんずん教の野望,港技研、AM1研,0,0
1994-09-01,AC,システム24,,SEGA,クイズ ゴースト ハンター,セガ（AM1研）,0,0
1994-09-01,AC,モデル2,,SEGA,バーチャコップ,セガ（AM2研）,0,0
1994-10-01,AC,C2ボード,PZL落ち物,SEGA,ぷよぷよ通,コンパイル,0,0
1994-10-01,AC,-,,SEGA,グランドクロス,エクセレントシステム,0,0
1994-11-01,AC,モデル2,FTG,SEGA,バーチャファイター2,セガ（AM2研）,0,0
1995-02-01,AC,モデル2,RCG,SEGA,セガラリーチャンピオンシップ,セガ（AM3研）,0,0
1995-02-01,AC,ST-V,,SEGA,ゴールデンアックス・ザ・デュエル（英語版）,セガ（AM1研）,0,0
1995-04-01,AC,H1ボード,,SEGA,クールライダーズ（英語版）,セガ（AM1研）,0,0
1995-04-01,AC,システム16B,,SEGA,登龍門,セガ（AM1研）,0,0
1995-04-01,AC,ST-V,,SEGA,ばくばくアニマル,セガ（AM3研）,0,0
1995-05-01,AC,モデル1,,SEGA,セガネットマーク,セガ（AM3研）,0,0
1995-05-01,AC,モデル2,,SEGA,バーチャストライカー,セガ（AM2研）,0,0
1995-06-01,AC,ST-V,FTG,SEGA,バーチャファイターリミックス,セガ（AM1研）,0,0
1995-06-01,AC,モデル2,,SEGA,レールチェイス2,セガ（AM3研）,0,0
1995-07-01,AC,モデル2,,SEGA,インディ500,セガ（AM1研）,0,0
