発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,売り上げ本数TOP50,ハード,対応
2008-12-11,32,-,ACT,カプコン,タツノコVSカプコンクロス・ジェネレーション・オブ・ヒーローズ,-,10851,0,Wii,-
2008-12-11,-,-,-,エレクトロニック・アーツ,フェイスブレイカーK.O.パーティー,-,10936,0,Wii,-
2008-12-11,-,-,-,タカラトミー,メジャーWiiパーフェクトクローザー,-,10957,0,Wii,-
2008-12-11,-,-,-,THQジャパン,ウォーリー,-,11030,0,Wii,-
2008-12-11,-,-,-,タイトー,クッキングママみんなといっしょにお料理大会！(ドリームエイジ・コレクション・ベスト),-,11068,0,Wii,-
2008-12-11,-,-,-,テクモ,アルゴスの戦士マッスルインパクト,-,11073,0,Wii,-
2008-12-18,-,-,-,セガ,ソニックワールドアドベンチャー,-,10656,0,Wii,-
2008-12-18,31,-,ACT,セガ,レッツタップ(タップボックス2個同梱),-,10657,0,Wii,-
2008-12-18,30,-,ACT,セガ,ブリーチバーサス・クルセイド,-,10658,0,Wii,-
2008-12-18,-,-,-,ハドソン,カラオケJOYSOUNDWii,-,10783,25,Wii,-
2008-12-18,-,-,-,ハドソン,カラオケJOYSOUNDWii(専用USBマイク同梱版),-,10784,0,Wii,-
