発売年,ハード,ジャンル,容量(bit),メーカー,タイトル,価格,ジョブカテゴリ,カウント,マッパー
1983-01-01,MSX,-,16K,マイクロキャビン,忍者くん,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX2,-,1M,ＨＡＬ研究所,忍者くん阿修羅の章,"￥5,600","￥5,500代",1,ASCII_8KB
1984-01-01,MSX,-,32K,日本デクスタ,忍者くん魔城の冒険,"￥5,700","￥5,500代",1,Mirrored
1986-01-01,MSX,-,32K,日本デクスタ,忍者じゃじゃ丸くん,"￥5,700","￥5,500代",1,Mirrored
1986-01-01,MSX,-,32K,ポニーキャニオン,忍者プリンセス,"￥4,900","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,ハドソン,忍者影,"￥4,800","￥5,000代",1,Mirrored
1989-01-01,MSX2,-,2M,ポニーキャニオン,熱血柔道,"￥6,800","￥7,000代",1,ASCII_8KB
1984-01-01,MSX,-,16K,カシオ,熱戦甲子園,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,2M,ジャレコ,燃えろ!!熱闘野球'88,"￥8,500","￥8,500代",1,ASCII_8KB
1987-01-01,MSX,-,1M,KGD,覇邪の封印,"￥7,800","￥8,000代",1,ASCII_8KB
1989-01-01,MSX2,-,1M,コナミ,牌の魔術師,"￥5,800","￥6,000代",1,[牌の魔術師] rom
1984-01-01,MSX,-,16K,ソニー,爆走スタントレーシング(CARJAMBOREE),"￥4,500","￥4,500代",1,Mirrored
1988-01-01,MSX2,-,2M,日本テレネット,反生命戦機アンドロギュヌス,"￥7,800","￥8,000代",1,ASCII_16KB
1985-01-01,MSX,-,16K,マイクロキャビン,飛車,￥,￥0代,1,Mirrored
1985-01-01,MSX,-,16K,カシオ,描きくけコン,"￥4,800","￥5,000代",1,*0
1986-01-01,MSX2,-,1M,マイクロキャビン,本格将棋棋太平,￥,￥0代,1,ASCII_8KB
1980-01-01,不明,-,不明,ヤマハ,文節変換カートリッジ,￥,￥0代,1,?
1985-01-01,MSX,-,不明,松下電器産業,文節変換熟語ユニット,"￥14,800","￥15,000代",1,?
1984-01-01,MSX,-,16K,徳間書店／テクノポリス,忘れじのナウシカ・ゲーム,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1987-01-01,MSX,-,1M,コンパイル,魔王ゴルベリアス,"￥5,900","￥6,000代",1,ASCII_16KB
1987-01-01,MSX2,-,1M,カプコン,魔界島七つの島大冒険,"￥6,800","￥7,000代",1,ASCII_16KB
1986-01-01,MSX,-,32K,カシオ,魔城伝説,"￥4,800","￥5,000代",1,?
1986-01-01,MSX,-,32K,コナミ,魔城伝説,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX,-,1M,コナミ,魔城伝説Ⅱガリウスの迷宮(THEMAZEOFGALIOUS),"￥4,980","￥5,000代",1,Konami48KB(noSCC)
1987-01-01,MSX,-,2M,コナミ,魔城伝説Ⅲ完結編シャロム(KINGHTMAREIIISHALOM),"￥5,980","￥6,000代",1,Konami48KB(noSCC)
1987-01-01,MSX,-,64K,ポニーキャニオン,魔性の館ガバリン,"￥4,900","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,ソニー,魔法使いウィズ,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX2,-,1M,ザインソフト,未来,"￥5,800","￥6,000代",1,ASCII_8KB
1987-01-01,MSX,-,1M,ザインソフト,未来,"￥5,800","￥6,000代",1,ASCII_8KB
1980-01-01,不明,-,不明,アイレム,密林の秘法,￥,￥0代,1,?
1986-01-01,MSX,-,1M,日本テレネット,夢幻戦士ヴァリス,"￥6,800","￥7,000代",1,ASCII_8KB
1986-01-01,MSX,-,1M,コナミ,夢大陸アドベンチャー(PENGUINADVENTURE),"￥4,980","￥5,000代",1,Konami48KB(noSCC)
1987-01-01,MSX,-,1M,電波新聞社,迷宮への扉(GATEOFLABYRINTH),"￥5,300","￥5,500代",1,ASCII_16KB
1986-01-01,MSX,-,1M,ＨＡＬ研究所,迷宮神話,"￥5,600","￥5,500代",1,ASCII_16KB
1984-01-01,MSX,-,32K,ハドソン,野球狂,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,2M,タイトー／ニデコ,山村美紗サスペンス京都龍の寺殺人事件,"￥5,800","￥6,000代",1,ASCII_8KB
1988-01-01,MSX2,-,2M,システムサコム,幽霊君,"￥6,800","￥7,000代",1,ASCII_8KB
1980-01-01,不明,-,不明,ストラッドフォード,幼児のえいご,￥,￥0代,1,?
1986-01-01,MSX,-,32K,カシオ,妖怪屋敷,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,ボースティック,妖怪探偵ちまちま,"￥5,600","￥5,500代",1,Mirrored
1985-01-01,MSX,-,16K,ポニーキャニオン,連珠とおじゃま犬たち,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1987-01-01,MSX,-,不明,立石電気,連続血圧測定プログラム,"￥39,800","￥40,000代",1,?
@CsvOptions:,,,,,,,,,
"dataType=0,,,,,,,",,,,,,,,,
title=「MSX」ソフト一覧,,,,,,,,,
searchPrefix=MSX,,,,,,,,,
dataReference=<ul><li><a target%3d'_blank' href%3d'http://pasofami.game.coocan.jp/game/game.htm'>各種ゲーム機 カセット・ソフトタイトルリスト@pasofami</a><li><a target%3d'_blank' href%3d'https://ja.wikipedia.org/wiki/MSX%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7'>MSXのゲームタイトル一覧@wikipedia</a></ul>,,,,,,,,,
detailType=city,,,,,,,,,
isMakeAutocompleteData=1,,,,,,,,,
chartName[imagePath]=/img/game/maker,,,,,,,,,
chartName[imageTooltip]=img,,,,,,,,,
chartCity[imagePath]=@tube,,,,,,,,,
chartCity[imageTooltip]=all,,,,,,,,,
chartCity[orderYmd]=1,,,,,,,,,
chartDate[elasticY]=0,,,,,,,,,
chartDate[width]=1000,,,,,,,,,
chartDate[format]=YYYY,,,,,,,,,
chartAge[unit]=null,,,,,,,,,
chartSex[unit]=null,,,,,,,,,
editUrl=https://docs.google.com/spreadsheets/d/1bY57j7jjEaGNWkZMPd0jIN00-h2WCtrifVJVp82LQzM/edit?gid=366568963#gid=366568963,,,,,,,,,
