発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,クロスレビュー(評価)
1990-08-10,FC,1M,RPG,パックインビデオ,川のぬし釣り,"￥6,300","￥6,500代",0,-
1990-08-10,FC,2M,SPT,アスミック,日本一の名監督,"￥6,800","￥7,000代",0,-
1990-08-11,FC,2M,RPG,バンダイ,SDガンダム外伝ナイトガンダム物語,"￥6,800","￥7,000代",0,-
1990-08-11,FC,1M,PZL,トンキンハウス,ブロディアランド,"￥5,600","￥5,500代",0,-
1990-08-21,FC,1M,ADV,ポニーキャニオン,孔雀王Ⅱ,"￥6,800","￥7,000代",0,-
1990-08-24,FC,1M,PZL,サンソフト,上海Ⅱ,"￥5,500","￥5,500代",0,-
1990-08-24,FC,1M,ACT,クエスト,魔天童子,"￥6,500","￥6,500代",0,-
1990-08-30,FC,2M,TAB,ビクター音楽産業,雀豪,"￥6,700","￥6,500代",0,-
1990-08-31,FC,1M,ETC,クエスト,ダンジョンキッド,"￥6,500","￥6,500代",0,-
1990-09-07,FC,1M,SHT,HAL研究所,宇宙警備隊SDF,"￥6,900","￥7,000代",0,-
1990-09-08,FC,1M,SLG,バンプレスト,SD戦国武将列伝烈火のごとく天下を盗れ！,"￥6,800","￥7,000代",0,-
1990-09-08,FC,1M,SPT,ティーエスエス,ワールドボクシング,"￥5,900","￥6,000代",0,-
1990-09-14,FC,2M,RPG,エポック社,ドラえもんギガゾンビの逆襲,"￥6,800","￥7,000代",0,-
1990-09-14,FC,1M,SLG,データイースト,リトルマジック,"￥6,300","￥6,500代",0,-
1990-09-14,FC,1M,TAB,パックインビデオ,爆笑！スターものまね四天王,"￥6,200","￥6,000代",0,-
1990-09-15,FC,2M,SLG,光栄,維新の嵐,"￥11,800","￥12,000代",0,-
1990-09-21,FC,1M,ACT,タイトー,インセクターX,"￥5,900","￥6,000代",0,-
1990-09-21,FC,1M,TAB,ポニーキャニオン,田村光昭麻雀ゼミナール,"￥5,800","￥6,000代",0,-
1990-09-28,FC,1M,SLG,ケムコ,ノースアンドサウスわくわく南北戦争,"￥6,200","￥6,000代",0,-
1990-09-28,FC,1M,ACT,ジャレコ,マジックジョン,"￥5,600","￥5,500代",0,-
1990-09-28,FC,2M,ACT,カプコン,ロックマン3Dr.ワイリーの最期！？,"￥6,500","￥6,500代",108,-
1990-09-28,FC,1M,ADV,データイースト,探偵神宮寺三郎時の過ぎゆくままに・・・,"￥4,900","￥5,000代",0,-
1990-10-05,FC,1M,SHT,トンキンハウス,ガンナック,"￥6,000","￥6,000代",0,-
1990-10-12,FC,1M,SPT,テクノスジャパン,ダウンタウン熱血行進曲それゆけ大運動会,"￥6,200","￥6,000代",0,-
1990-10-19,FC,2M,RPG,東映動画,ブラッディウァリアーズシャンゴーの逆襲,"￥6,200","￥6,000代",0,-
1990-10-19,FC,1M,TAB,徳間書店,まじゃべんちゃー麻雀戦記,"￥5,800","￥6,000代",0,-
