発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,売り上げ本数TOP50,ハード,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？
1988-05-27,-,4,SLG,ヘクト,将軍(SHOGUN),"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-05-27,-,4,ADV,ハドソン,サラダの国のトマト姫,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-05-27,30,5,SPT,ナムコ,ナムコクラシック,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-05-27,-,4,ACT,ユーピーエル,忍者くん阿修羅の章,"￥5,300","￥5,500代",0,1,🟥赤,-,-,-,-
1988-05-30,-,4,RPG,バンダイ,聖闘士星矢黄金伝説完結編,"￥5,800","￥6,000代",0,1,🟦青,-,-,-,-
1988-06-03,-,4,ACT,日本物産,コスモポリスギャリバン,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-06-17,32,4,SHT,サンソフト,超惑星戦記メタファイト,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1988-06-20,-,4,SHT,カプコン,1943,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1988-06-24,30,4,RPG,ケムコ,真田十勇士,"￥5,600","￥5,500代",0,1,-,-,-,-,-
1988-06-24,30,4,ACT,ナムコ,妖怪道中記,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1988-06-28,-,4,SPT,タイトー,究極ハリキリスタジアム,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-07-14,-,5,RPG,BPS,スーパーブラックオニキス,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-07-15,-,4,ADV,コナミ,じゃりん子チエばくだん娘のし幸せさがし,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-07-15,30,4,SLG,アスキー,ベストプレープロ野球,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-07-15,-,4,ACT,ジャレコ,伝説の騎士エルロンド,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-07-20,-,5,ACT,カプコン,ヒットラーの復活トップシークレット,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-07-21,-,5,ADV,ボーステック,めぞん一刻,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-07-22,-,4,ACT,ナムコ,カイの冒険,"￥3,900","￥4,000代",0,1,-,-,-,-,-
1988-07-22,-,4,ACT,ビック東海,カケフくんのジャンプ天国スピード地獄,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1988-07-26,-,4,ACT,タイトー,レインボーアイランド,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-07-26,31,4,SPT,テクノスジャパン,熱血高校ドッジボール部,"￥5,800","￥6,000代",0,1,-,対戦,10位,-,-
1988-07-29,-,4,SHT,SNK,グレートタンク,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-07-29,-,4,SLG,ナムコ,三国志中原の覇者,"￥6,900","￥7,000代",0,1,-,-,-,-,-
1988-07-29,-,4,ACT,カルチャーブレーン,飛龍の拳Ⅱドラゴンの翼,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-07-30,-,4,SPT,バップ,スーパーリアルベースボール'88,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-08-03,-,5,ADV,東京書籍,太陽の神殿アステカⅡ,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-08-09,-,4,PZL,HAL研究所,エッガーランド迷宮の復活,"￥5,600","￥5,500代",0,1,-,-,-,-,-
1988-08-10,-,4,SLG,ソフエル,ザ・マネーゲーム,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-08-10,-,4,ADV,バンダイ,闘将！！拉麺男炸裂超人一○二芸,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-08-10,-,5,SPT,ジャレコ,燃えろ！！プロ野球'88決定版,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-08-11,-,4,ADV,サンソフト,水戸黄門Ⅱ世界漫遊記,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-08-12,-,4,SPT,データイースト,サッカーリーグウィナーズカップ,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-08-12,-,4,RPG,バンダイ,ドラゴンボール大魔王復活,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-08-12,-,4,RAC,ナムコ,ファイナルラップ,"￥5,200","￥5,000代",0,1,-,-,-,-,-
1988-08-12,33,4,SLG,任天堂,ファミコンウォーズ,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-08-12,-,4,ACT,コナミ,マッドシティ,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-08-19,-,5,SLG,アイレム,不如帰(ほととぎす),"￥6,500","￥6,500代",0,1,-,-,-,-,-
1988-08-23,-,4,ETC,ココナッツジャパン,スーパーピンボール,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-08-26,30,5,RPG,ビクター音楽産業,イース,"￥6,200","￥6,000代",0,1,-,-,-,-,-
1988-08-26,-,2,SPT,バップ,スーパーダイナミックバトミントン,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1988-08-26,-,4,SHT,ハドソン,亀の恩返し,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-09-02,-,4,TAB,SNK,ファミコン名人戦,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-09-13,-,5,ADV,ジャレコ,マニアックマンション,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-09-16,-,4,SPT,コナミ,コナミックスポーツインソウル,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-09-16,-,5,ACT,ポニーキャニオン,霊幻道士,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-09-21,-,5,ADV,ポニーキャニオン,孔雀王,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-09-22,-,4,ETC,ケムコ,ドナルドダック,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-09-27,-,4,ACT,セタ,エイトアイズ,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-09-27,-,4,ADV,ナムコ,えりかとさとるの夢冒険,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1988-09-30,-,4,TAB,エピックソニー,VIVALASVEGAS,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-09-30,-,3,RAC,パックインビデオ,ナイトライダー,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-10-01,-,4,SLG,アスキー,ベストプレープロ野球新データ,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-10-11,-,4,SLG,ボーステック,大戦略,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-10-18,-,4,ETC,ホットビィ,ザ・ブラックバスⅡ,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-10-21,-,4,SHT,データイースト,コブラコマンド,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-10-21,-,4,RPG,ナムコ,源平討魔伝,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1988-10-23,35,5,ACT,任天堂,スーパーマリオブラザーズ3,"￥6,500","￥6,500代",384,1,🟨黄,対戦,18位,16位,-
1988-10-28,-,4,SLG,ヘクト,アメリカ大統領選挙,"￥9,800","￥10,000代",0,1,-,-,-,-,-
1988-10-30,-,5,SLG,光栄,三國志,"￥9,800","￥10,000代",0,1,-,-,-,-,-
1988-11-10,-,4,ADV,ナツメ,東方見文録,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-11-11,-,4,SPT,ケイアミューズメントリース,アメリカンフットボールタッチダウンフィーバー,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-11-11,-,5,TAB,アスミック,ぎゅわんぶらあ自己中心派,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-11-11,-,4,ACT,ジャレコ,西遊記ワールド,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-11-16,-,4,ETC,アテナ,ファミリークイズ4人はライバル,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-11-18,-,4,RPG,ナムコ,貝獣物語,"￥5,500","￥5,500代",0,1,-,-,-,-,-
