発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント
1995-12-22,-,-,-,ヴァージンインタラクティブ,ブラックファイアー,-,1440,0
1995-12-22,-,-,-,バンダイ,機動戦士ガンダム,-,1441,0
1995-12-22,-,-,-,バンプレスト,北斗の拳,-,898,0
1995-12-25,35,-,RPG,アトラス,真・女神転生デビルサマナー,-,11,0
1995-12-29,-,-,-,アークシステムワークス,ウィザーズハーモニー,-,1157,0
1995-12-29,-,-,-,ヴァージンインタラクティブ,カオスコントロール,-,1442,0
1995-12-29,36,-,RCG,セガ,セガラリーチャンピオンシップ,-,1054,0
1996-01-12,-,-,-,アテナ,プロ麻雀極S,-,1565,0
1996-01-12,-,-,-,マイクロネット,麻雀狂時代コギャル放課後編,-,1564,0
1996-01-19,-,-,-,サンソフト,必殺パチンココレクション,-,1636,0
1996-01-19,-,-,-,データイースト,クリーチャー・ショック,-,1443,0
1996-01-26,-,-,-,セガ,バーチャファイターCGポートレートシリーズVol.7舜帝,-,1619,0
1996-01-26,-,-,-,セガ,バーチャファイターCGポートレートシリーズVol.8リオン・ラファール,-,1620,0
1996-01-26,-,-,-,カプコン,ストリートファイターZERO,-,899,0
1996-01-26,-,-,-,テクモ,でろーんでろでろ,-,1637,0
1996-01-26,-,-,-,セガ,ガーディアンヒーローズ,-,900,0
1996-02-02,-,-,-,セガ,NINKU忍空強気な奴等の大激突!,-,901,0
1996-02-02,-,-,-,バンダイビジュアル,リターン・トゥ・ゾーク,-,1312,0
1996-02-02,-,-,-,メディアクエスト,松方弘樹のワールドフィッシング,-,1091,0
1996-02-09,-,-,-,バンダイ,PDウルトラマンリンク,-,1638,0
1996-02-09,-,-,-,ユーメディア,天地無用!魅御理温泉湯けむりの旅,-,1313,0
1996-02-16,-,-,-,アルトロン,ロボ・ピット,-,902,0
1996-02-16,-,-,-,インタープレイ,サイベリア,-,1315,0
1996-02-16,-,-,-,バンタンインターナショナル,デスマスク,-,1314,0
1996-02-23,31,-,SLG,セガ,Jリーグプロサッカークラブをつくろう!,-,1158,0
1996-02-23,-,-,-,セガ,おまかせ!退魔業,-,903,0
1996-02-23,-,-,-,博報堂,料理の鉄人キッチンスタジアムツアー,-,1639,0
1996-02-23,-,-,-,エレクトロニック・アーツ,アローン・イン・ザ・ダーク2,-,904,0
1996-02-23,32,-,FTG,カプコン,ヴァンパイアハンター,-,1823,0
1996-02-23,-,-,-,スカイ・シンク・システム,くるりんPA!,-,1640,0
1996-02-23,-,-,-,データム・ポリスター,四柱推命ピタグラフ,-,1641,0
1996-02-23,-,-,-,ビクター,サンダーホーク2,-,1444,0
1996-02-23,-,-,-,ビクター,シーバス・フィッシング,-,1092,0
1996-02-23,-,-,-,ヒューマン,ロジック・パズルレインボータウン,-,1642,0
1996-02-23,-,-,-,リバーヒルソフト,ハイパー3D対戦バトルゲボッカーズ,-,905,0
1996-02-23,-,-,-,コーエー,提督の決断2,-,1159,0
1996-03-01,-,-,-,セガ,新世紀エヴァンゲリオン,-,1316,0
1996-03-01,-,-,-,セガ,バーチャファイターCGポートレートシリーズVol.9影丸,-,1621,0
1996-03-01,-,-,-,セガ,バーチャファイターCGポートレートシリーズVol.10ジェフリー・マクワイルド,-,1622,0
1996-03-01,30,-,SLG,オープンブック9003,ザ・タワー,-,1160,0
1996-03-01,-,-,-,ファンハウス,メディアロマンサー浅倉大介,-,1643,0
1996-03-01,-,-,-,コーエー,ゴータ2天空の騎士,-,1161,0
1996-03-08,-,-,-,BMGビクター,ザ・ホード,-,1162,0
1996-03-08,-,-,-,サミー,麻雀ハイパーリアクションR,-,1566,0
1996-03-08,-,-,-,パトラ,ロードランナーレジェンドリターンズ,-,906,0
1996-03-15,-,-,-,セガ,リンクル・リバー・ストーリー,-,14,0
1996-03-15,30,-,SLG,セガ,ワールドアドバンスド大戦略作戦ファイル,-,1163,0
1996-03-15,-,-,-,OZクラブ,毎日替わるクイズ番組クイズ365,-,1644,0
1996-03-15,-,-,-,アスク講談社,アイドル麻雀ファイナルロマンスR,-,1567,0
1996-03-15,-,-,-,エポック社,ドラえもんのび太と復活の星,-,907,0
1996-03-15,-,-,-,エレクトロニック・アーツ,FIFAサッカー96,-,1093,0
1996-03-15,-,-,-,カプコン,ストリートファイター2ムービー,-,908,0
1996-03-15,-,-,-,キングレコード,フィッシング甲子園,-,1094,0
1996-03-15,-,-,-,クレフ,ブレインバトルQ,-,1645,0
1996-03-15,31,-,SHT,ゲームアーツ,ガングリフォン,-,1445,0
1996-03-15,-,-,-,サンソフト,ゲームの達人2,-,1646,0
1996-03-15,-,-,-,ダットジャパン,バーチャルカジノ,-,1647,0
1996-03-15,-,-,-,翔泳社,ゾーク・ワン,-,1317,0
