日付,💔5歳未満児の死亡数(1000人中),👶子供の数(女性1人中),平均寿命,国名,地域,未使用,人口密度,カウント,🏥医療費:1人当たりのGDPに対する割合%,💰所得(平均年収):ドル,輸出:1人当たりの輸出:GDPに対する割合%,輸入:1人当たりの輸出:GDPに対する割合%,💰一人当たりのGDP:ドル,📈インフレ:総GDPの年間成長率:%
chartCity[imageTooltip]=all,,,,,,,,,,,,,,
chartCity[orderYmd]=0,,,,,,,,,,,,,,
chartDate[isHidden]=1,,,,,,,,,,,,,,
chartDate[elasticY]=0,,,,,,,,,,,,,,
chartDate[width]=1000,,,,,,,,,,,,,,
chartDate[format]=YYYY,,,,,,,,,,,,,,
chartSex[chartType]=bar,,,,,,,,,,,,,,
chartSex[unit]=null,,,,,,,,,,,,,,
chartSex[scale]=10,,,,,,,,,,,,,,
chartSex[labelSuffix]=人,,,,,,,,,,,,,,
chartSex[isLegend]=1,,,,,,,,,,,,,,
chartAge[unit]=null,,,,,,,,,,,,,,
chartAge[scale]=@round:0,,,,,,,,,,,,,,
chartAge[labelSuffix]=人,,,,,,,,,,,,,,
chartCond[scale]=4,,,,,,,,,,,,,,
chartCond[labelSuffix]=歳,,,,,,,,,,,,,,
chartJob[isHidden]=1,,,,,,,,,,,,,,
chartJobCat[isHidden]=1,,,,,,,,,,,,,,
chartEx[0][scale]=@round:0,,,,,,,,,,,,,,
chartEx[0][isLegend]=1,,,,,,,,,,,,,,
chartEx[0][labelSuffix]=％,,,,,,,,,,,,,,
chartEx[1][scale]=5000,,,,,,,,,,,,,,
chartEx[1][isLegend]=1,,,,,,,,,,,,,,
chartEx[2][scale]=10,,,,,,,,,,,,,,
chartEx[2][isLegend]=0,,,,,,,,,,,,,,
chartEx[2][labelSuffix]=％,,,,,,,,,,,,,,
chartEx[3][scale]=10,,,,,,,,,,,,,,
chartEx[3][isLegend]=0,,,,,,,,,,,,,,
chartEx[3][labelSuffix]=％,,,,,,,,,,,,,,
chartEx[4][scale]=5000,,,,,,,,,,,,,,
chartEx[4][isLegend]=0,,,,,,,,,,,,,,
chartEx[5][scale]=@round:0,,,,,,,,,,,,,,
chartEx[5][labelSuffix]=％,,,,,,,,,,,,,,
chartEx[5][isLegend]=0,,,,,,,,,,,,,,
chartEx[6][scale]=0,,,,,,,,,,,,,,
chartEx[6][isLegend]=0,,,,,,,,,,,,,,
chartEx[7][scale]=0,,,,,,,,,,,,,,
chartEx[7][isLegend]=0,,,,,,,,,,,,,,
