発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント
1997-08-01,1,1,ACT,ゲームバンク,DOOM64,"￥7,800","￥8,000代",0
1997-08-01,0,2,TAB,イマジニア,麻雀放浪記CLASSIC,"￥7,900","￥8,000代",0
1997-08-07,1,3,ACT,コナミ,がんばれゴエモン～ネオ桃山幕府のおどり～,"￥8,900","￥9,000代",14
1997-08-08,1,1,SPT,ハドソン,パワーリーグ64,"￥6,980","￥7,000代",0
1997-08-23,2,2,ACT,任天堂,ゴールデン・アイ007,"￥6,800","￥7,000代",0
1997-09-05,1,1,SPT,イマジニア,Jリーグダイナマイトサッカー64,"￥7,500","￥7,500代",0
1997-09-18,1,1,SPT,コナミ,実況ワールドサッカー3,"￥7,500","￥7,500代",0
1997-09-26,3,1,ACT,ハドソン,爆ボンバーマン,"￥6,980","￥7,000代",17
1997-10-24,1,1,SPT,ハドソン,Jリーグイレブンビート1997,"￥6,980","￥7,000代",0
1997-10-31,2,1,PUZ,コンパイル,ぷよぷよSUN64,"￥5,980","￥6,000代",0
1997-11-21,3,2,RAC,任天堂,ディディーコングレーシング,"￥6,800","￥7,000代",65
1997-11-21,1,1,TAB,アテナ,プロ麻雀極64,"￥6,800","￥7,000代",0
1997-11-28,3,3,SPT,ボトムアップ,64大相撲,"￥7,980","￥8,000代",0
1997-11-28,2,1,TAB,アムテックス/ショウエイシステム,HEIWAパチンコワールド64,"￥7,900","￥8,000代",0
1997-11-28,1,2,SPT,ナムコ,ファミスタ64,"￥6,800","￥7,000代",0
1997-11-28,2,1,SHT,セタ,ワイルドチョッパーズ,"￥6,980","￥7,000代",0
1997-12-05,3,1,RAC,コトブキシステム,TOPGEARRALLY,"￥6,980","￥7,000代",0
1997-12-05,1,2,ACT,ハドソン,デュアルヒーローズ,"￥6,980","￥7,000代",0
1997-12-12,2,2,ACT,日本システムサプライ,カメレオン・ツイスト,"￥6,980","￥7,000代",0
1997-12-12,1,1,RAC,アトラス,スノボキッズ,"￥6,800","￥7,000代",0
1997-12-18,1,2,SPT,コナミ,ハイパーオリンピックインナガノ64,"￥6,800","￥7,000代",0
1997-12-18,1,1,ACT,ゲームバンク,ヘクセン,"￥6,800","￥7,000代",0
1997-12-18,1,2,ACT,カルチャーブレーン,飛龍の拳ツイン,"￥6,980","￥7,000代",0
1997-12-19,3,2,TAB,バンダイ,64で発見!たまごっちみんなでたまごっちワールド,"￥6,800","￥7,000代",0
1997-12-19,2,1,ACT,ハドソン,ウッチャンナンチャンの炎のチャレンジャーウルトラ電流イライラ棒,"￥5,980","￥6,000代",0
1997-12-19,3,1,RAC,アスキー,エアロゲイジ,"￥7,800","￥8,000代",0
1997-12-19,8,3,SPT,アスミック,バーチャル・プロレスリング64,"￥6,800","￥7,000代",0
1997-12-21,4,3,ACT,任天堂,ヨッシーストーリー,"￥6,800","￥7,000代",85
1997-12-26,1,3,SPT,T＆Eソフト,遥かなるオーガスタMASTERS'98,"￥7,980","￥8,000代",0
1998-01-04,1,2,SPT,ハドソン,新日本プロレス闘魂炎導～BraveSpirits～,"￥6,980","￥7,000代",0
1998-01-29,1,2,SPT,コナミ,NBAINTHEZONE'98,"￥6,800","￥7,000代",0
